user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level
1,Weekend,EV,1.55,6.12,0,Non-Veg,2.4,0.7,1,11.03,High
1,Weekend,Walk,10.04,4.5,0,Mixed,4.1,0.54,1,7.44,Medium
1,Weekday,Walk,15.27,2.81,0,Mixed,4.0,0.51,1,6.01,Medium
1,Weekend,Walk,0.5,10.16,0,Mixed,6.3,0.73,0,12.7,High
1,Weekend,Walk,3.6,5.02,50,Mixed,5.1,0.64,0,6.33,Medium
1,Weekday,EV,7.77,5.14,50,Veg,4.2,0.73,1,4.89,Low
1,Weekend,Bike,6.87,7.14,75,Mixed,2.6,0.45,0,5.5,Low
2,Weekend,Bus,0.5,4.76,25,Non-Veg,3.0,0.66,1,8.86,Medium
2,Weekday,Walk,14.33,8.78,50,Non-Veg,7.4,0.8,0,10.06,Medium
2,Weekday,Car,9.51,7.78,0,Mixed,2.4,1.03,1,12.72,High
2,Weekend,Car,9.25,9.62,75,Mixed,5.3,0.91,3,7.31,Medium
2,Weekday,Bike,9.42,2.47,0,Mixed,2.8,1.0,0,6.73,Medium
2,Weekend,EV,0.5,9.06,25,Non-Veg,8.4,0.73,1,11.57,High
2,Weekday,Walk,6.02,6.8,0,Mixed,8.5,0.75,4,8.38,Medium
3,Weekend,Bike,11.49,7.73,75,Mixed,4.2,0.81,2,5.26,Low
3,Weekend,Bike,4.53,7.42,25,Mixed,3.6,0.82,0,9.05,Medium
3,Weekday,Bike,13.81,7.11,0,Veg,5.6,0.68,2,7.85,Medium
3,Weekend,Bus,11.62,3.96,0,Mixed,2.3,0.86,2,7.91,Medium
3,Weekday,Walk,13.91,6.95,0,Veg,3.0,0.93,0,8.82,Medium
3,Weekend,Car,5.97,9.47,0,Veg,7.1,1.02,1,11.84,High
3,Weekday,Bike,14.35,11.36,0,Veg,7.8,0.67,0,12.11,High
4,Weekend,Bus,3.73,3.54,50,Mixed,3.2,0.75,1,5.75,Low
4,Weekday,Bike,8.87,5.75,75,Non-Veg,8.1,0.9,2,6.96,Medium
4,Weekday,Bus,7.08,5.74,75,Veg,8.3,0.7,1,4.18,Low
4,Weekday,Bike,17.2,4.77,75,Non-Veg,8.2,0.86,0,7.51,Medium
4,Weekday,Bus,16.87,6.85,0,Mixed,3.1,0.6,2,10.38,Medium
4,Weekday,Walk,14.94,4.61,0,Veg,4.3,0.89,3,5.65,Low
4,Weekday,Bike,17.07,3.86,0,Mixed,8.8,0.58,2,6.57,Medium
5,Weekend,Car,16.94,7.23,25,Non-Veg,3.4,0.63,0,14.26,High
5,Weekend,Walk,9.91,5.13,75,Mixed,8.7,0.92,2,4.86,Low
5,Weekday,EV,11.5,8.39,100,Veg,8.7,0.73,2,2.54,Low
5,Weekday,Car,15.11,7.45,75,Mixed,6.9,0.57,1,8.49,Medium
5,Weekend,Car,6.23,5.0,75,Non-Veg,7.2,1.04,1,8.68,Medium
5,Weekend,Car,10.22,7.99,75,Non-Veg,8.4,0.93,1,9.99,Medium
5,Weekend,Bike,8.28,9.11,50,Non-Veg,7.6,0.76,1,9.75,Medium
6,Weekday,Bus,15.04,6.21,25,Veg,4.0,0.63,1,7.37,Medium
6,Weekend,Bus,2.43,5.68,25,Veg,7.4,0.84,0,6.7,Medium
6,Weekday,Bike,6.92,6.36,25,Mixed,6.5,0.6,3,6.94,Medium
6,Weekday,Bus,9.35,7.82,25,Non-Veg,2.5,0.83,1,11.66,High
6,Weekend,Bike,9.46,5.43,25,Veg,7.0,0.6,1,5.66,Low
6,Weekend,Walk,14.49,8.14,25,Mixed,3.7,0.99,0,9.69,Medium
6,Weekday,Bike,9.17,5.85,0,Non-Veg,5.4,1.11,1,11.23,High
7,Weekend,Car,12.53,3.19,50,Veg,2.3,0.96,2,6.29,Medium
7,Weekday,Bus,6.26,5.4,25,Mixed,8.6,0.68,1,7.74,Medium
7,Weekday,Walk,9.54,9.56,25,Non-Veg,8.6,0.76,1,11.89,High
7,Weekend,Car,5.57,4.89,0,Mixed,7.9,0.71,0,9.53,Medium
7,Weekday,Walk,9.64,7.29,0,Mixed,6.9,0.85,2,9.7,Medium
